"","Topic","Storyline","Substoryline"
"1","Effectiveness of Policy (Citizen Participation)","[EPA is effective for CP (CP)]","(CP) Process involves citizens more"
"2","Effectiveness of Policy (Citizen Participation)","[EPA is effective for CP (CP)]","(CP) Considers citizen interest better"
"3","Effectiveness of Policy (Citizen Participation)","[EPA not effective for CP (Not CP)]","(Not CP) EPA favours minority"
"4","Effectiveness of Policy (Citizen Participation)","[EPA not effective for CP (Not CP)]","(Not CP) Implementation was lacking"
"5","Effectiveness of Policy (Citizen Participation)","[EPA not effective for CP (Not CP)]","(Not CP) Municipalities have too much control"
"6","Effectiveness of Policy (Citizen Participation)","[EPA not effective for CP (Not CP)]","(Not CP) Difficult to get participation"
"7","Effectiveness of Policy (Citizen Participation)","[EPA not effective for CP (Not CP)]","(Not CP) Limits participation opportunities"
"8","Effectiveness of Policy (Citizen Participation)","[EPA is effective for CP (CP)]","(CP) Simplification of rules improves citizen participation"
"9","Effectiveness of Policy (Integration)","[EPA is effective at sectoral integration (Int)]","(Int) Instruments provides an integrated planning framework"
"10","Effectiveness of Policy (Integration)","[EPA is effective at sectoral integration (Int)]","(Int) Instruments allows for integrated goals"
"11","Effectiveness of Policy (Integration)","[EPA is effective at sectoral integration (Int)]","(Int) Instruments forces long-term planning"
"12","Effectiveness of Policy (Integration)","[EPA is effective at sectoral integration (Int)]","(Int) Instruments stimulates better internal coordination"
"13","Effectiveness of Policy (Noise)","New noise standards are good to curb noise pollution","New noise standards are good to curb noise pollution"
"14","Effectiveness of Policy (Noise)","New noise standards does not deal with aviation","New noise standards does not deal with aviation"
"15","Effectiveness of Policy (Simplification)","[EPA does not simplify procedures (Not Simple)]","(Not Simple) New rules are complicated for initators"
"16","Effectiveness of Policy (Simplification)","[EPA does not simplify procedures (Not Simple)]","(Not Simple) Uncertainties in EPA complicates initiation"
"17","Effectiveness of Policy (Simplification)","[EPA does not simplify procedures (Not Simple)]","(Not Simple) New rules are complicated for everyone"
"18","Effectiveness of Policy (Simplification)","[EPA simplifies procedures (Simple)]","(Simple) Rule bundling makes rules clearer"
"19","Effectiveness of Policy (Simplification)","[EPA simplifies procedures (Simple)]","(Simple) Rule bundling makes initation process simpler"
"20","Effectiveness of Policy (Simplification)","[EPA does not simplify procedures (Not Simple)]","(Not Simple) New rules are complicated for citizens"
"21","Effectiveness of Policy (Simplification)","[EPA does not simplify procedures (Not Simple)]","(Not Simple) DSO is too complexly designed"
"22","General Implementation Beliefs","Communication of progress was not transparent","Communication of progress was not transparent"
"23","General Implementation Beliefs","Implementing decentralization is difficult","Implementing decentralization is difficult"
"24","General Implementation Beliefs","Intention is good but effectiveness depends on implementation","Intention is good but effectiveness depends on implementation"
"25","General Implementation Beliefs","Implementation is difficult because of internal tensions","Implementation is difficult because of internal tensions"
"26","General Implementation Beliefs","EPA has potential but implementation is difficult","EPA has potential but implementation is difficult"
"27","General Implementation Beliefs","Implementing EPA is unpopular but necessary","Implementing EPA is unpopular but necessary"
"28","General Implementation Beliefs","Implementation problems are inevitable","Implementation problems are inevitable"
"29","General Implementation Beliefs","Overfocus on implementation than policy adjustment","Overfocus on implementation than policy adjustment"
"30","General Implementation Beliefs","Implementing EPA is good after postponements","Implementing EPA is good after postponements"
"31","Instrument Logic","[Centralization is needed instead (C)]","(C) Decentralization loses coherence for national issues"
"32","Instrument Logic","[Decentralization is beneficial (D)]","(D) Decentralization allows local govt to set rules for protection"
"33","Instrument Logic","[Centralization is needed instead (C)]","(C) ""Yes, provided"" makes it hard for protection"
"34","Instrument Logic","[Decentralization is beneficial (D)]","(D) Decentralization provides local govt development opportunities"
"35","Instrument Logic","[Centralization is needed instead (C)]","(C) Decentralization threatens roles of provinces"
"36","Instrument Logic","[Decentralization is beneficial (D)]","(D) Decentralization allows municipalities to weigh interests better"
"37","Instrument Logic","[Decentralization is beneficial (D)]","(D) Decentralization still allows for adequate environmental protection"
"38","Instrument Logic","[Centralization is needed instead (C)]","(C) Decentralization causes environmental standards to fall"
"39","Instrument Logic","[Centralization is needed instead (C)]","(C) Market driven approach causes problems"
"40","Instrument Logic","[Decentralization is beneficial (D)]","(D) Decentralization should not be blamed for non-spatial issues"
"41","Instrument Logic","[Decentralization is beneficial (D)]","(D) Decentralization still allows for national goals"
"42","Instrument Logic","[Centralization is needed instead (C)]","(C) Decentralization loses democratic legitimacy at regional level"
"43","Instrument Logic","[Centralization is needed instead (C)]","(C) Decentralization is used by national govt to avoid responsibility"
"44","Prioritizing of objectives","New noise standards hinder housing construction","New noise standards hinder housing construction"
"45","Prioritizing of objectives","Simplification reduced unnecessary bureaucracy","Simplification reduced unnecessary bureaucracy"
"46","Prioritizing of objectives","Simplification helps with housing construction","Simplification helps with housing construction"
"47","Prioritizing of objectives","Simplification benefits initators not government","Simplification benefits initators not government"
"48","Prioritizing of objectives","EPA must strike a balance between using and protecting space","EPA must strike a balance between using and protecting space"
"49","Prioritizing of objectives","Citizen participation leads to conflicts","Citizen participation leads to conflicts"
"50","Prioritizing of objectives","Simplification is not better for planning","Simplification is not better for planning"
"51","Prioritizing of objectives","Citizen participation makes progress slower","Citizen participation makes progress slower"
"52","Stances on Implementation","[EPA's Introduction should (Postpone)]","(Postpone) Introduction now is risky"
"53","Stances on Implementation","Municipalities can do more for citizen participation","Municipalities can do more for citizen participation"
"54","Stances on Implementation","[EPA's Introduction should (Not Postpone)]","(Not Postpone) Preserve Momentum"
"55","Stances on Implementation","[EPA's Introduction should (Postpone)]","(Postpone) More time to work on DSO"
"56","Stances on Implementation","EV can be more ambitious","EV can be more ambitious"
"57","Stances on Implementation","[EPA's Introduction should (Postpone)]","(Postpone) More time for legal adjustments"
"58","Stances on Implementation","[EPA's Introduction should (Postpone)]","(Postpone) More time for municipalities to prepare"
"59","Stances on Implementation","Proactive to implementation problems","Proactive to implementation problems"
"60","Stances on Implementation","More direction and support from national government","More direction and support from national government"
"61","Stances on Implementation","EPA should focus on the vulnerable","EPA should focus on the vulnerable"
"62","Stances on Implementation","[EPA's Introduction should (Not Postpone)]","(Not Postpone) Implementation timelines is underestimated"
"63","Stances on Implementation","Government should prioritize DSO","Government should prioritize DSO"
"64","Stances on Implementation","[EPA's Introduction should (Not Postpone)]","(Not Postpone) Postponement does not improve situation"
"65","Stances on Implementation","[EPA's Introduction should (Postpone)]","(Postpone) COVID-19 Delays"
"66","Stances on Implementation","[EPA's Introduction should (Not Postpone)]","(Not Postpone) Acceptable even if not smooth"
"67","Stances on Implementation","[EPA's Introduction should (Not Postpone)]","(Not Postpone) Municipality is ready"
"68","Stances on Implementation","[EPA should be cancelled (Cancel)]","(Cancel) DSO is flawed"
"69","Stances on Implementation","EV can focus more on the immediate environment","EV can focus more on the immediate environment"
"70","Stances on Implementation","[EPA's Introduction should (Not Postpone)]","(Not Postpone) Disadvantage authorities sufficiently prepared"
"71","Stances on Implementation","[EPA's Introduction should (Not Postpone)]","(Not Postpone) DSO is ready"
"72","Stances on Implementation","[EPA's Introduction should (Not Postpone)]","(Not Postpone) EPA is urgently needed"
"73","Stances on Implementation","[EPA's Introduction should (Not Postpone)]","(Not Postpone) Prevent Additional costs"
"74","Stances on Implementation","WkB and EPA has to be introduced together","WkB and EPA has to be introduced together"
"75","Stances on Implementation","DSO should be simpler","DSO should be simpler"
"76","Stances on Implementation","Terms of municipal councilors should be extended","Terms of municipal councilors should be extended"
"77","Stances on Implementation","[EPA should not be cancelled (Not Cancel)]","(Not Cancel) Should not cancel even with problems"
"78","Stances on Implementation","[EPA's Introduction should (Not Postpone)]","(Not Postpone) Prevent Additional Costs"
"79","Stances on Implementation","Municipalities should not take extra tasks","Municipalities should not take extra tasks"
"80","Stances on Implementation","Effect of WkB postponed","Effect of WkB postponed"
"81","Stances on Implementation","DSO needs to be completed earlier","DSO needs to be completed earlier"
"82","Stances on Implementation","More legal certainty","More legal certainty"
"83","Stances on Implementation","More tasks for provinces","More tasks for provinces"
"84","Stances on Implementation","Clearer Political Structures","Clearer Political Structures"
"85","Threats from Implementation","[Process of Implementation threathens me]","Uncertainties from EPA causes risks to actors"
"86","Threats from Implementation","[Process of Implementation threathens me]","System change delays progress"
"87","Threats from Implementation","[New changes affects my interest negatively]","New municipal plans affects my interest negatively"
"88","Threats from Implementation","[New changes affects my interest negatively]","New municipal rules affects my interest negatively"
"89","Viability of Implementation","DSO is too expensive","DSO is too expensive"
"90","Viability of Implementation","DSO is not managed properly","DSO is not managed properly"
"91","Viability of Implementation","Practicing EPA digitally is difficult","Practicing EPA digitally is difficult"
"92","Viability of Implementation","Permits are not functioning as intended","Permits are not functioning as intended"
"93","Viability of Implementation","DSO is formulated too broad, makes it difficult to coordinate data","DSO is formulated too broad, makes it difficult to coordinate data"
"94","Viability of Implementation","Decisions about EPA is too quick","Decisions about EPA is too quick"
"95","Viability of Implementation","DSO is too complexly designed and will not work","DSO is too complexly designed and will not work"
"96","Viability of Implementation","Permits depend on DSO","Permits depend on DSO"
"97","Viability of Implementation","EPA cannot be adjusted due to momentum","EPA cannot be adjusted due to momentum"
"98","Viability of Implementation","Requirements of EPA is not clear","Requirements of EPA is not clear"
"99","Viability of Implementation (Legal Issues)","[Introducing EPA leads to legal Issues]","EPA is legally problematic"
"100","Viability of Implementation (Legal Issues)","[Introducing EPA leads to legal Issues]","Legal issues causes EPA to be ineffective"
"101","Viability of Implementation (Legal Issues)","[Introducing EPA leads to legal Issues]","System change causes lawsuits"
"102","Viability of Implementation (Legal Issues)","[Introducing EPA leads to legal Issues]","DSO will cause legal issues"
"103","Viability of Implementation (Legal Issues)","[Introducing EPA leads to legal Issues]","Errors from DSO causes legal issues"
"104","Viability of Implementation (Legal Issues)","[Introducing EPA leads to legal Issues]","Alternative working methods is not legally valid"
"105","Viability of Implementation (Legal Issues)","[Introducing EPA leads to legal Issues]","EPA has legal foundation for housing construction"
"106","Viability of Implementation (Municipalities)","[Resources are lacking for municipalities]","Municipalities consume a lot of resources to implement EPA"
"107","Viability of Implementation (Municipalities)","[Resources are lacking for municipalities]","Municipalities have funding gaps for implementation"
"108","Viability of Implementation (Municipalities)","[Resources are lacking for municipalities]","Municipalities are understaffed for implementation"
"109","Viability of Implementation (Municipalities)","[Resources are lacking for municipalities]","Municipalites cannot prioritize EPA"
"110","Viability of Implementation (Municipalities)","[Resources are lacking for municipalities]","Municipalities take on too many new tasks"
"111","Viability of Implementation (Municipalities)","[Resources are lacking for municipalities]","Small municipalities are vulnerable"
